time, comID, thrID, parID, clusID
1023938.0,v1brr7,9p2s26,None,0
1096778.0,v92wif,9p2s26,vfya04,0
1155232.0,vj5bqu,93grrw,vj5adw,0
154100.0,vv3tpx,9ljiuk,vv369b,0
1616098.0,vk8eni,jrggjr,vik65z,0
1688674.0,vk1i9n,9p2s26,v9h0g8,0
1761814.0,vshyes,j4nh16,vshmw3,0
1765786.0,vszu1p,j4nh16,None,0
1768346.0,vs7bsj,j4nh16,vs7q3m,0
1773286.0,vstijy,j4nh16,vstox7,0
1777524.0,vsnsou,jq95ke,None,0
1778709.0,vsxxv8,j4nh16,vsxhle,0
1796720.0,vspflf,j4nh16,vstwy0,0
2743260.0,t5o1ru,opafad,None,0
2746916.0,t5iacf,opafad,t5o45c,0
3604400.0,tzlkkm,9p2s26,v9yoj0,0
3780370.0,t71atv,p458jk,t7x1r7,0
3786412.0,t7ftfs,p458jk,t7u9wd,0
3810753.0,t7pkwu,p4fuwy,None,0
562995.0,vnou43,9xm02v,vnfgag,0
586713.0,vxclnj,9xm02v,vnorbe,0
589164.0,vx5atn,x5g3ry,None,0
635272.0,vx73fw,9bmkab,None,0
649801.0,vxumg6,9x0ahs,vxbuuy,0
658700.0,vx9bzi,9uee55,vx9cyi,0
712219.0,vbc6au,9u1hdy,None,0
718882.0,vb5r7u,9u1hdy,vbc6au,0
720038.0,vb5tdg,9u1hdy,None,0
724640.0,vbgyf5,9u1hdy,vb5uz2,0
726869.0,vbgo8j,9u1hdy,vx0vi7,0
1053837.0,vfmouw,9p71co,vfm4n9,1
1546741.0,vit9va,jrza39,vit5wi,1
1773931.0,vs4dys,j4nh16,vsrho6,1
1776675.0,vsn69o,j4nh16,None,1
1848521.0,v3ebb1,jbpaky,v35uoz,1
1866140.0,v3hzxu,j16qz7,None,1
1889899.0,v3bvmp,j16qz7,v3x3ff,1
3800888.0,t7ozn8,p4fuwy,None,1
3821833.0,t7k4w9,p4fuwy,None,1
3832784.0,t739z0,p4fuwy,t7peoz,1
3840269.0,t70n6m,p4fuwy,t730we,1
3844149.0,tv2xdk,p4fuwy,t799m6,1
3844915.0,tv2oxd,p4fuwy,tv2ezs,1
3851737.0,tv8sj5,p4fuwy,None,1
470930.0,vqj3nd,94qarb,v4sxpr,1
487779.0,vn8o5z,9qk08q,vn8mog,1
501054.0,vn6k2i,9qk08q,vn5m6v,1
504359.0,vnlhlf,9qk08q,vn6k2i,1
566629.0,vnidsn,9xm02v,vnjrbp,1
567331.0,vnixdh,9xm02v,vnpi6q,1
653137.0,vx1qb0,9x0ahs,vx12c4,1
660109.0,vxjgqz,9uee55,vxfgi8,1
679501.0,vx3t43,9x0ahs,vxfu7s,1
696134.0,vbacyy,9u1hdy,vbaa3b,1
696170.0,vbacve,9u1hdy,vbaaua,1
720136.0,vb5t93,9u1hdy,vba67o,1
720316.0,vb541z,9u1hdy,vb8zg1,1
721008.0,vb5bk3,9u1hdy,vb2a8f,1
722242.0,vb5ien,9u1hdy,vb5rzw,1
722762.0,vb5w8x,9u1hdy,vb5hqn,1
733869.0,vbmvut,9u1hdy,vx098v,1
734015.0,vbmtss,9u1hdy,vb5wwf,1
739425.0,vbdix2,x5g3ry,vbmys1,1
1585448.0,vi9ami,jrza39,vix1xx,10
1589134.0,vi9wo9,jrza39,None,10
162991.0,vt26y0,9ljiuk,vv3p9n,10
1753297.0,vsrdw0,j4nh16,None,10
1767280.0,vs7mo1,j4nh16,vsz3aq,10
1768546.0,vs7fjt,j4nh16,vs7q8q,10
1773165.0,vstokq,j492dm,vst1l9,10
1776558.0,vsndlv,j4nh16,None,10
1777157.0,vsnnfl,j4nh16,None,10
1841621.0,v350f0,j4nh16,vsqj0n,10
1858633.0,v36r3k,junl9f,None,10
1863712.0,v3lzig,j16qz7,v3leoq,10
1998870.0,vw6ap4,jnb7g4,None,10
2203503.0,t2dv7p,o5h8sn,t2e1cg,10
2222118.0,t2411k,jn8qkk,None,10
2666967.0,t588nr,oungk0,tc3pbr,10
2721983.0,t5ts4g,o9a1ss,None,10
2762453.0,tg56xv,opafad,None,10
2914570.0,texrsj,o3hzcf,teqjs8,10
3680926.0,tzw36e,pvyxzi,tzwe3q,10
3830797.0,t73gqz,p4fuwy,t7pg6p,10
3831298.0,t73rl6,p4fuwy,None,10
3833396.0,t733d7,p4fuwy,None,10
3858852.0,tvg88s,p4fuwy,tv5392,10
555431.0,vnf46j,9xm02v,vnfgag,10
63756.0,vvheqx,96lc2d,vvr3v6,10
644857.0,vxxrpt,9x0ahs,vxntdq,10
654810.0,vxfefv,9uee55,vxfgi8,10
663096.0,vxo6ek,9x0ahs,vxup3b,10
687807.0,vx0vi7,9u1hdy,None,10
693532.0,vb2xs9,9u1hdy,vb2d3z,10
719109.0,vb5lbc,9u1hdy,vb563l,10
721751.0,vb5jru,9u1hdy,vbaaua,10
72406.0,vvvbi0,96pwoh,None,10
740859.0,vbymog,9u1hdy,vbmhwr,10
74306.0,vvtcyp,96lc2d,None,10
1000550.0,v16a9f,fxblxd,vbnshz,12
102534.0,vvbm16,95f25x,vvzed1,12
1052566.0,vfe3gb,9p71co,vfetfd,12
1061217.0,vflk1g,9p71co,vfl84i,12
1265116.0,vo7hhz,x5g3ry,vozf5x,12
1281202.0,voxtqm,fxblxd,v1emiv,12
1593087.0,viomkn,jrza39,vif9lz,12
1597528.0,vipk4b,jrza39,vi449c,12
1792053.0,vsjptg,j4nh16,vs174o,12
1862250.0,v3ritu,junl9f,v3ms26,12
1864350.0,v3lu9u,j40jce,vsv63c,12
1865252.0,v3hamp,j16qz7,v3lw9y,12
1869492.0,v3zkre,j16qz7,v3znt7,12
1878660.0,v34ow0,j16qz7,v3480a,12
1887630.0,v3xiqj,j16qz7,v3xjfo,12
1895748.0,v3ushr,j16qz7,v3480a,12
1904937.0,v3f3vm,j16qz7,v3xiqj,12
1949727.0,v3wjd7,j16qz7,v3bvmp,12
2040509.0,vwqg47,j16qz7,vw4pos,12
2054708.0,vwuvq9,j16qz7,vwqg47,12
2065212.0,vwfwxc,junl9f,v3khqm,12
2103817.0,vw00sd,jwr2bi,vwkh36,12
2119349.0,v0ee7z,j16qz7,vw1cik,12
2323016.0,ta769l,x5g3ry,None,12
2386205.0,ta3utf,o6q83j,ta3eyh,12
2393075.0,t8a8oz,oycr52,ta302n,12
2465618.0,t8buo8,oycr52,t8a8oz,12
2530850.0,tcgjma,oycr52,t8buo8,12
269555.0,vtqbs3,fncetm,None,12
2826807.0,tgjdrg,oycr52,tcgjma,12
2902892.0,te713p,o3hzcf,None,12
2924327.0,te1jrs,o3hzcf,texb97,12
2930127.0,tejw4v,o3hzcf,tetypj,12
2993959.0,tmbktx,oycr52,tgjdrg,12
3016178.0,tm027q,oyaknh,tm1pqh,12
3033610.0,td542q,oyaknh,td2rlj,12
